item,count,ref_nos
construction,8,"[""['NNMEE/Tender 27/27-10-2021']"", ""['166/AC-3/42 Dated 11.02.2020']"", ""['834/G-6/14, dt 06.07.2021 (2)']"", ""['BH-59/2022(Pratav) Dt 06.10.2022']"", ""['2002C/116C-PMGSY Circle Kanpur/18 Dt.13.09.2018']"", ""['28-08-2021/NAGAR NIGAM/03-09-2021/11']"", ""['35/AA3/KDA/18-19']"", ""['16/ECDD/GZB/2018-19']""]"
construction of administrative building of ramgadhtaal police station by upgrading reporting police booth ramgadhtaal in district gorakhpur,1,"[""['3085/135C-Gkp Circle/2021 Dated 24-05-2021']""]"
construction of navin modern police thana in district pilibhit by upgradation of police chauki of ghunghchai under thana puranpur,1,"[""['4534/6Nivida Date-16.09.2020']""]"
police thana aavash se police thana diwal tk inter locking sadak nirman karya,1,"[""['361/NPA/2018-19']""]"
prison van police vehicles ( v2 ),3,"[""['GEM/2024/B/5689248']"", ""['GEM/2025/B/5775407', 'GEM/2025/R/443966']"", ""['GEM/2025/B/6249168']""]"
result for police dogs ( v1 ) ( q3 ),4,"[""['GEM/2025/B/6207355']"", ""['GEM/2025/B/5856629', 'GEM/2025/R/470194']"", ""['GEM/2025/B/5854835', 'GEM/2025/R/470191']"", ""['GEM/2025/B/5852890', 'GEM/2025/R/470197']""]"
lighting box,1,"[""['GEM/2025/B/6067153']""]"
flasher for police vehicles,1,"[""['GEM/2025/B/6067153']""]"
supply of ration for horse of mountain police,4,"[""['V-14/2022']"", ""['V-26']"", ""['V-16/2024']"", ""['V-40/2023']""]"
renovation of primary school police line,1,"[""['220/5A/2023 DT. 27-01-2023']""]"
police special purpose vehicle ( pspv ),1,"[""['GEM/2023/B/3282163']""]"
development of park behind police station,1,"[""['224/NPA/2021-22']""]"
construction of jail police sub station.,1,"[""['786/M-11/ETENDER/2020 DT. 28.05.2020']""]"
lighting box ( flasher for police vehicles ),2,"[""['GEM/2019/B/434775']"", ""['GEM/2020/RA/46049']""]"
