MP Police,,
item,count,ref_nos
01 h type qtrs at pounar distt chhindwara,1,03/2019-20/11
automated license plate recognition system ( alprs ),1,SB/STORE/2020-25(564) BHOPAL DATED 28-12-2020
construction of semi urban thana kailarsh disttmorena,1,26/2019-20
placing of water tank at 60 line,1,31/2018-19
renovation of toilet ptri,1,63/2018-19
external electrification work for rail police head quarter at bhopal,1,27/2024-25
result for miscellaneous itmes store2 part 1,1,SP/PTS/MT/MOD/419/2025
construction of g type 2 qtrs at govt hospital gohad disst bhind balance work,1,06/2022-23
s. d. o. ( p ) office,1,11/2019-20-7
prithvipur.,1,12/2021-22
result for construction of highrise ( g plus 5 ) 336 constable qtrs at police radio colony bhopal m p,1,19/2024-25
battery rate contract,1,DCP/HQ/IND/RI/MT/963/23
cpvc pipe,1,NIT 11/2020-21_6
plumbing,13,"SP/Ujjain/RI/3411B/2023, SP/Ujjain/RI/3411D/2023, SP/Ujjain/RI/3408A/2023, SP/Ujjain/RI/3410C/2023, SP/Ujjain/RI/3411C/2023, SP/Ujjain/RI/3410B/2023, SP/Ujjain/RI/3410A/2023, SP/Ujjain/RI/3411A/2023, SP/Ujjain/RI/3409A/2023, SP/Ujjain/RI/3529F/2023, SP/Ujjain/RI/3529A/2023, SP/Ujjain/RI/3411/2023, SP/Ujjain/RI/3529J/2023"
h type 8 qrts. mandsaur ( 11/ 0. 433 kv,1,NIT 20/2024-25_5
distt khandwa,4,"11/2022-23, 05/2022-23, 18/2022-23, 19/2022-23"
construction of semi urban police thana at badgounda ( distt. indore ),1,27/2022-23/2
semi urban thana madiyado damoh,1,12/2019-20
chandrawatiganj,1,21/2021-22
kukdeshwar distt. neemuch,1,22/2018-19
office supply items,1,SB PHQ/SEC-24/STORE/ (441) /2024 BHOPAL DATED 12.11.2024
distt raisen,1,15/2023-24
100ahc,1,F-581/2020 Date 27-08-2020
construction of fortified of vulnerable police station at bithli,1,01/2024-25
special repair work at thana bhawan kotwali,1,12/2023-24
construction of 2f type 4g type,2,"08/2019-20/3, 08/2019-20/2"
maintenance work for 25 mtr range of m. p. shooting academy at goregaon bhopal,1,33/2021-22
construction of synthetic athletic track,1,10/2022-23
construction of semi urban policethana at aasta dist. sehore,1,12/2020-21
